description,requirements,benefits,fraudulent
"Join our team as a Software Engineer. Experience with Java, Python required. Job #13902","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #291","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #7676","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #2039","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #2288","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #304","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #3","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #5332","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #14248","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #6946","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #9334","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #5022","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #13222","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Earn ₹10,000 per week! No experience needed. Work from home. Send your bank details. Offer #124",None,"Daily payout, flexible hours",1
"Join our team as a Software Engineer. Experience with Java, Python required. Job #11192","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #8124","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #9754","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #2771","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #5422","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #5999","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #11358","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #14117","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #6147","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #6174","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #13434","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #6753","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #5664","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #102","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #2127","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #3214","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #2616","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #7771","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #12396","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #3449","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #8062","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #10810","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #6373","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #12021","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #13944","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #19","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Earn ₹10,000 per week! No experience needed. Work from home. Send your bank details. Offer #480",None,"Daily payout, flexible hours",1
"Earn ₹10,000 per week! No experience needed. Work from home. Send your bank details. Offer #843",None,"Daily payout, flexible hours",1
"Join our team as a Software Engineer. Experience with Java, Python required. Job #10683","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #7897","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #9663","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #10474","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #13678","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #2453","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #11914","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #88","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #7233","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #14336","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #10054","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #3608","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #6861","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #13069","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Earn ₹10,000 per week! No experience needed. Work from home. Send your bank details. Offer #315",None,"Daily payout, flexible hours",1
"Join our team as a Software Engineer. Experience with Java, Python required. Job #3207","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Earn ₹10,000 per week! No experience needed. Work from home. Send your bank details. Offer #421",None,"Daily payout, flexible hours",1
"Join our team as a Software Engineer. Experience with Java, Python required. Job #13977","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #6005","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #1470","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #14715","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #2678","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #3260","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #4004","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #4948","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #5613","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #5220","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #1302","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #8113","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #8665","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #11729","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #2231","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #9785","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #6006","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #5883","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #6850","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #4502","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #1199","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #640","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #1870","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #8888","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Earn ₹10,000 per week! No experience needed. Work from home. Send your bank details. Offer #625",None,"Daily payout, flexible hours",1
"Join our team as a Software Engineer. Experience with Java, Python required. Job #4720","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #11219","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #9332","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #6885","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Earn ₹10,000 per week! No experience needed. Work from home. Send your bank details. Offer #910",None,"Daily payout, flexible hours",1
"Join our team as a Software Engineer. Experience with Java, Python required. Job #3852","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #5888","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #1862","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #3288","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Earn ₹10,000 per week! No experience needed. Work from home. Send your bank details. Offer #284",None,"Daily payout, flexible hours",1
"Join our team as a Software Engineer. Experience with Java, Python required. Job #9722","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #1107","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #6933","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #10472","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #11495","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #13410","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #9354","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #11966","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #4993","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #4509","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #14066","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Earn ₹10,000 per week! No experience needed. Work from home. Send your bank details. Offer #280",None,"Daily payout, flexible hours",1
"Join our team as a Software Engineer. Experience with Java, Python required. Job #7750","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #6621","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #12978","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #14484","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #4040","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #5038","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Earn ₹10,000 per week! No experience needed. Work from home. Send your bank details. Offer #1006",None,"Daily payout, flexible hours",1
"Earn ₹10,000 per week! No experience needed. Work from home. Send your bank details. Offer #958",None,"Daily payout, flexible hours",1
"Join our team as a Software Engineer. Experience with Java, Python required. Job #8692","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #13717","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #13670","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Earn ₹10,000 per week! No experience needed. Work from home. Send your bank details. Offer #324",None,"Daily payout, flexible hours",1
"Join our team as a Software Engineer. Experience with Java, Python required. Job #10159","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #7066","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #8343","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #8674","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #9458","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #426","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #3980","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #101","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #7203","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #290","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #8552","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #14639","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #4013","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #7534","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #11982","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #7387","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #2122","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #14254","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #5610","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #6435","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #8015","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #11588","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #10308","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #1010","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #4685","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Earn ₹10,000 per week! No experience needed. Work from home. Send your bank details. Offer #194",None,"Daily payout, flexible hours",1
"Join our team as a Software Engineer. Experience with Java, Python required. Job #3429","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #14728","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #14424","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #13943","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #10687","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Earn ₹10,000 per week! No experience needed. Work from home. Send your bank details. Offer #959",None,"Daily payout, flexible hours",1
"Join our team as a Software Engineer. Experience with Java, Python required. Job #10622","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #3316","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #6926","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #5960","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Earn ₹10,000 per week! No experience needed. Work from home. Send your bank details. Offer #175",None,"Daily payout, flexible hours",1
"Join our team as a Software Engineer. Experience with Java, Python required. Job #720","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #2673","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #8563","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #5747","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #8756","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #2680","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #3015","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #14432","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
"Join our team as a Software Engineer. Experience with Java, Python required. Job #8740","BTech in CS or equivalent, 2+ years of experience","Health insurance, paid leaves, flexible hours",0
